,企业名称,是否违约,企业种类,WOE
36,***木业有限公司,0,第一产业,-inf
37,***建设工程有限公司,0,第二产业,0.0447358938413913
38,***建筑劳务有限公司,0,体力型第三产业,0.0745888569910726
39,***财税咨询服务有限公司,0,体力型第三产业,0.0745888569910726
40,***物业发展有限公司,0,脑力型第三产业,-0.00445435034938042
41,***园艺场,0,体力型第三产业,0.0745888569910726
42,***建设工程有限公司,0,第二产业,0.0447358938413913
43,***商贸有限公司,0,体力型第三产业,0.0745888569910726
44,个体经营E45,1,体力型第三产业,0.0745888569910726
45,***广告传媒有限公司,0,脑力型第三产业,-0.00445435034938042
46,***控制设备有限责任公司,0,第二产业,0.0447358938413913
47,***化工有限公司,0,第二产业,0.0447358938413913
48,***地球环保科技有限公司,0,脑力型第三产业,-0.00445435034938042
49,***建筑劳务有限公司,0,体力型第三产业,0.0745888569910726
50,***物流有限公司,0,体力型第三产业,0.0745888569910726
51,***商贸有限公司,1,体力型第三产业,0.0745888569910726
52,***文化传媒有限公司,0,脑力型第三产业,-0.00445435034938042
53,***新技术开发有限公司,0,脑力型第三产业,-0.00445435034938042
54,***集团有限公司***电力设备分公司,0,第二产业,0.0447358938413913
55,***家居材料***有限公司,0,第二产业,0.0447358938413913
56,***机械设备有限公司,0,第二产业,0.0447358938413913
57,***油气工程建设有限责任公司,0,第二产业,0.0447358938413913
58,***商贸有限公司,0,体力型第三产业,0.0745888569910726
59,***机械租赁有限公司,0,体力型第三产业,0.0745888569910726
60,***调味品有限公司,0,第二产业,0.0447358938413913
61,***工程造价咨询有限公司***分公司,0,体力型第三产业,0.0745888569910726
62,***科技有限公司,0,脑力型第三产业,-0.00445435034938042
63,***图书有限责任公司,0,体力型第三产业,0.0745888569910726
64,***商贸有限公司,0,体力型第三产业,0.0745888569910726
65,***快递有限公司,0,第二产业,0.0447358938413913
66,***信息技术有限公司,0,脑力型第三产业,-0.00445435034938042
67,***花木总公司,0,第一产业,-inf
68,***电子器材经营部,0,体力型第三产业,0.0745888569910726
69,***科技有限公司,0,脑力型第三产业,-0.00445435034938042
70,***农业科技有限公司,0,脑力型第三产业,-0.00445435034938042
71,***图书有限公司,0,体力型第三产业,0.0745888569910726
72,***商贸有限责任公司,0,体力型第三产业,0.0745888569910726
73,***蔬菜专业合作社,0,第二产业,0.0447358938413913
74,***酒店管理有限公司,0,脑力型第三产业,-0.00445435034938042
75,***信息科技有限公司,0,脑力型第三产业,-0.00445435034938042
76,***机电设备有限公司,0,第二产业,0.0447358938413913
77,个体经营E78,0,体力型第三产业,0.0745888569910726
78,***鞋业有限公司,0,第二产业,0.0447358938413913
79,***实业有限责任公司,0,体力型第三产业,0.0745888569910726
80,***机械设备有限公司,0,第二产业,0.0447358938413913
81,***商贸有限公司,1,体力型第三产业,0.0745888569910726
82,***社会福利院（***社会福利社会化服务中心）,0,第二产业,0.0447358938413913
83,***建材有限公司,0,第二产业,0.0447358938413913
84,***安防科技有限公司,0,脑力型第三产业,-0.00445435034938042
85,***地质工程勘察院***分院,0,第二产业,0.0447358938413913
86,***实业有限责任公司,1,体力型第三产业,0.0745888569910726
87,***贸易有限公司,0,体力型第三产业,0.0745888569910726
88,***物资有限公司,0,第二产业,0.0447358938413913
89,***文化传媒有限责任公司,0,脑力型第三产业,-0.00445435034938042
90,***科技实业有限公司,0,脑力型第三产业,-0.00445435034938042
91,***地质灾害防治有限公司,0,第二产业,0.0447358938413913
92,***电脑设计事务所,0,脑力型第三产业,-0.00445435034938042
93,***汽车美容有限公司,0,体力型第三产业,0.0745888569910726
94,***兰花店,0,体力型第三产业,0.0745888569910726
95,***土地整理有限公司,0,脑力型第三产业,-0.00445435034938042
96,***美工装饰部,0,第二产业,0.0447358938413913
97,***文化传播有限公司,0,脑力型第三产业,-0.00445435034938042
98,***建筑工程有限责任公司,1,第二产业,0.0447358938413913
99,***装饰工程有限公司,1,第二产业,0.0447358938413913
100,***灯饰工程有限公司,1,第二产业,0.0447358938413913
101,***大药房有限责任公司,1,体力型第三产业,0.0745888569910726
102,***科技有限公司,1,脑力型第三产业,-0.00445435034938042
103,***管理咨询有限责任公司,0,脑力型第三产业,-0.00445435034938042
104,***建材经营部,0,体力型第三产业,0.0745888569910726
105,***财务管理有限公司,0,脑力型第三产业,-0.00445435034938042
106,***科技有限公司,1,脑力型第三产业,-0.00445435034938042
107,***商贸有限公司,1,体力型第三产业,0.0745888569910726
108,***服饰有限公司,1,第二产业,0.0447358938413913
109,***通讯器材经营部,0,体力型第三产业,0.0745888569910726
110,***科技有限公司,1,脑力型第三产业,-0.00445435034938042
111,***机械设备有限公司,1,第二产业,0.0447358938413913
112,***美居科技有限公司,1,脑力型第三产业,-0.00445435034938042
113,***食品有限责任公司,1,第二产业,0.0447358938413913
114,***装饰工程有限公司,1,第二产业,0.0447358938413913
115,***门窗有限公司,1,第二产业,0.0447358938413913
116,***人力资源管理咨询有限公司,1,脑力型第三产业,-0.00445435034938042
117,***体育用品有限公司,1,第二产业,0.0447358938413913
118,***药房,1,体力型第三产业,0.0745888569910726
119,***陈列广告有限公司,1,脑力型第三产业,-0.00445435034938042
120,***药业连锁有限公司***药店,1,体力型第三产业,0.0745888569910726
121,***商贸有限责任公司,1,体力型第三产业,0.0745888569910726
122,***创科技有限责任公司,1,脑力型第三产业,-0.00445435034938042
