id,valid_cnt_in,valid_mny_in,valid_tax_in,cancel_cnt_in,cancel_mny_in,cancel_tax_in,cancel_cnt_rate_in,cancel_mny_rate_in,negative_rate_in,valid_cnt_out,valid_mny_out,valid_tax_out,cancel_cnt_out,cancel_mny_out,cancel_tax_out,cancel_cnt_rate_out,cancel_mny_rate_out,negative_rate_out,profit,debt,profit_estimation,p_growth_rate,p_acceleration,tax_estimation,t_growth_rate,t_acceleration,bill_cnt_in,bill_cnt_out,bill_cnt_year,partner_kurt_in,mny_wave_in,time_wave_in,partner_kurt_out,mny_wave_out,time_wave_out,credit_score,type_WOE,target
E13,0.421645352,0.016019656,0.012986505,0.718050066,0.973850928,0.978532139,0.876070979,0.90068109,0.979479443,0.287282554,0.052245241,0.950183718,0,0.840227959,0.852220788,0.783179263,0.765728168,0.965579711,0.545411791,0.473297208,0.724436558,0.469622103,0.121620389,0.11164238,0.601861444,0.543435544,0.436850142,0.273300631,0.417239029,0.5973985,0.992456317,0.928517639,0.783308594,0.725068465,0.507477732,1,1,0
E14,0.207609595,0.019382673,0.01539978,0.275362319,0.946664046,0.955696466,0.393810932,0.839044417,0.864562585,0.130594494,0.051416195,0.948361133,0.800334169,0.882894479,0.886400928,0.896118105,0.82028933,0.956032721,0.538533771,0.475180155,0.656886971,0.302988814,0.120222015,0.19171899,0.742883905,0.537906994,0.187159165,0.149404345,0.190845698,0.619921777,0.983229363,0.416789782,0.696766405,0.638474088,0.881166024,0.333333333,1,0
E15,0.002894955,0.000737757,0.000633057,1,1,1,1,1,1,0.09525418,0.052090184,0.987710755,0.873015873,0.918398243,0.978209797,0.908623549,0.872922144,1,0.571832149,0.497178428,0.638543754,0.266311716,0.118360357,0.236432326,0.748673141,0.556900175,0.005089799,0.089978977,0.037330257,0.804855882,0.988781548,0.907383151,0.56639688,0.969638895,0.857741212,1,1,0
E16,0.009162054,4.82E-05,1.74E-05,0.998682477,0.999997787,0.999999589,0.973103447,0.997040049,0.976470586,0.016297923,0.051496476,0.993447669,0.959064327,0.859112316,0.987570165,0.838154898,0.787864981,1,0.572301199,0.502965184,0.671461125,0.302348538,0.114731049,0.231663818,0.742327548,0.548606199,0.013742456,0.0168185,0.016200912,0.886581942,0.999502684,0.44681853,0.631884736,0.306073417,0.838622134,1,1,0
E17,0.22720621,0.02270964,0.01379427,0.440052701,0.94460784,0.962793511,0.56197146,0.855770721,0.913369734,0.023517987,0.038109304,0.97928652,0.903926483,0.821226494,0.894799926,0.753328403,0.661282788,0.926619131,0.516340169,0.509249025,0.620706195,0.279414984,0.124356391,0.240560318,0.731432452,0.527977019,0.232967353,0.028591451,0.178681906,0.350642571,0.98939971,0.897809957,0.789304157,0.244930335,0.884061538,1,0.972219177,0
E18,0.173506394,0.022268499,0.011001101,0.591567852,0.955612663,0.973498339,0.580572417,0.880270922,0.961356552,0.014397906,0.046163228,0.984307726,0.969924812,0.88939306,0.968396135,0.862992126,0.81180676,0.981642514,0.52703444,0.510531008,0.601727876,0.279414984,0.117932511,0.254890944,0.702317917,0.557327741,0.187886279,0.014996496,0.141089498,0,0.983992648,0.688657962,0.648839306,0.26421672,0.165402237,1,0.972219177,0
E19,0.047178215,0.031891703,0.032389907,0.947299078,0.963983555,0.963138853,0.795275591,0.930019874,0.986253372,0.118941057,0.044372049,0.954690692,0.767752715,0.890523717,0.89307605,0.869925782,0.806739208,0.925912797,0.508069328,0.511214593,0.61420099,0.473051283,0.150077573,0.246219715,0.708861946,0.485488627,0.035192322,0.109740715,0.066428983,0.655188565,0.944644092,0.826623348,0.778285331,0.924451268,0.961051789,1,0.926443303,0
E20,0.033085194,0.030908364,0.029980971,0.882740448,0.92155379,0.925385784,0.385663715,0.850440379,0.980403461,0.030949164,0.04717162,0.952123693,0.966583124,0.923956238,0.924765377,0.925353926,0.869466547,1,0.513232025,0.504120749,0.62184371,0.355634091,0.122224718,0.236730077,0.694218737,0.533179884,0.023485785,0.012053259,0.021443926,0.699495544,0.913828663,0.859981521,0.634644864,0.176907873,0.915125656,0.666666667,1,0
E21,0.068238213,0.019980555,0.009417521,0.781291173,0.93082295,0.974952285,0.439965397,0.802338239,0.930288909,0.060124979,0.029115314,0.982126922,0.968253968,0.982104319,0.988784784,0.962414734,0.948198767,0.897992531,0.510007849,0.505281239,0.647797087,0.645948167,0.153562493,0.200019539,0.442223361,0.522906157,0.080636952,0.127259986,0.105751586,0.725317208,0.976526648,0.902022082,0.805263593,0.971052008,0.810923297,0.666666667,0.972219177,0
E22,0.048323471,0.011474155,0.010046899,0.881422925,0.969862186,0.972610257,0.563975156,0.845697879,0.901578949,0.057507178,0.027521794,0.982691782,0.83625731,0.904799789,0.941535479,0.818053777,0.738950576,0.972181552,0.52285671,0.507008843,0.632673291,0.372852509,0.118826425,0.231977145,0.615171509,0.545035402,0.052206791,0.103994394,0.076548,0.75382245,0.97969114,0.322688301,0.777128491,0.946469952,0.885004468,1,1,0
E23,0.15273271,0.030250538,0.030466785,0.803689065,0.99248765,0.992998535,0.765259546,0.984098848,0.893794255,0.145119068,0.0450595,0.954478335,0.931495405,0.981672686,0.983109235,0.966250355,0.965422584,0.965949821,0.511774457,0.507735078,0.619073102,0.24090643,0.114843714,0.240698406,0.802249374,0.562144784,0.116410965,0.137351086,0.135322183,0.631186548,0.957949746,0.862011673,0.664464588,0.906345648,0.892418867,0.666666667,1,0
E24,0.063720812,0.013105955,0.012248203,0.943346509,0.991934854,0.994176859,0.836150462,0.96113654,0.945708583,0.068991724,0.034552716,0.978305469,0.879699248,0.928490431,0.957173603,0.882828282,0.835399972,0.945868946,0.528680421,0.505488427,0.653780151,0.338192893,0.117902444,0.225386109,0.635928168,0.541346688,0.079691704,0.108619481,0.098096786,0.771630496,0.975962463,0.934851169,0.672934191,0.95334072,0.944557482,1,0.972219177,0
E25,0.044219635,0.001562354,0.001151592,0.974967062,0.998709891,0.999501276,0.894893619,0.948258482,0.970668581,0.034200304,0.009336734,0.990776153,0.86299081,0.975948057,0.977791412,0.756850715,0.799183646,0.910524161,0.517704602,0.501692583,0.622871081,0.229165104,0.114418092,0.232552705,0.771257652,0.561200653,0.04697157,0.040644709,0.049074608,0.789954502,0.992678377,0.846495778,0.804865562,0.359490423,0.680972807,0.333333333,0.972219177,0
E26,0.024082204,0.006454283,0.006232591,0.956521739,0.993124239,0.993729484,0.674589124,0.933833069,0.991029025,0.018831279,0.009004935,0.990864163,0.954887218,0.977634332,0.978460137,0.844642857,0.8057073,0.985925927,0.508777011,0.510323319,0.617479757,0.169336821,0.119153546,0.242212018,0.903365708,0.528639261,0.015632953,0.022985284,0.019871022,0.613043085,0.979582686,0.636749306,0.723941748,0.943812978,0.615074981,1,0.972219177,0
E27,0.078704587,0.007706534,0.005169542,0.881422925,0.987459707,0.991127503,0.726315791,0.900972574,0.939555555,0.058478298,0.010827504,0.992728163,0.934001671,0.988987015,0.992880848,0.921968665,0.915712344,0.945284376,0.508842607,0.510755337,0.61711468,0.279414984,0.182451145,0.242739239,0.250817471,1,0.084490657,0.075823406,0.089288523,0.594512594,0.992039161,0.857251703,0.707204352,0.91976796,0.912221531,1,0,0
E28,0.004930966,0.000221395,0.000159669,0.9828722,0.999527987,0.999546648,0.399999998,0.872590381,1,0.021997973,0.012050239,0.992503197,0.963241437,0.973444039,0.983357761,0.887873462,0.82570901,1,0.523383976,0.502081144,0.671827268,0.446068154,0.120295041,0.196214045,0.59364579,0.533221435,0.006834872,0.036159776,0.018455408,0.832616676,0.995258933,0.83650412,0.761590033,0.870301238,0.931124878,0.666666667,0.972219177,0
E29,0.001495196,2.79E-05,2.91E-05,0.997364954,0.99999879,0.999999026,0.688,0.997205549,1,0.019633508,0.011101303,0.997147643,0.994987469,0.997153019,0.999262268,0.98168421,0.978074736,1,0.522551393,0.507383251,0.634020534,0.838244953,0.119193721,0.234736031,0.194297355,0.509031108,0.000436268,0.035178697,0.013474545,0.826645077,0.99447592,0.317140788,0.545318038,0.982764728,0.868809969,0.333333333,1,1
E30,0.023509576,0.00368243,0.003432621,0.981554677,0.99559495,0.995905882,0.855172416,0.926056274,0.98162162,0.03137139,0.017575297,0.98954618,0.95572264,0.969839916,0.981607152,0.9039375,0.861654429,1,0.524166404,0.50405809,0.640920434,0.233815451,0.120709864,0.232513517,0.875594672,0.541143669,0.031193194,0.039383322,0.037225397,0.862229913,0.988621833,0.895037542,0.52481196,0.962395502,0.913428325,0.666666667,0.972219177,0
E31,0.012820513,0.000767888,0.000725044,0.989459816,0.999800694,0.999896927,0.848543687,0.98338887,0.983168314,0.105429826,0.011620413,0.988953982,0.910609858,0.988882603,0.989563181,0.94050997,0.920521084,0.99240304,0.521902589,0.498810687,0.63957999,0.343113795,0.119429814,0.215569968,0.693018689,0.539242129,0.010979423,0.109320252,0.048812457,0.621132191,0.993378786,0.901076033,0.616257523,0.935038235,0.875262108,1,0.972219177,0
E32,0.08939365,0.000409374,0.000213338,0.980237154,0.999710444,0.999949724,0.958598723,0.955488027,0.98548559,0.019591285,0.010850196,0.997906461,0.929824561,0.98155987,0.996602782,0.779347826,0.862937605,0.986467237,0.521577638,0.508594407,0.642183879,0.398678746,0.119914828,0.235637209,0.605335047,0.533915207,0.121500763,0.035038542,0.100718293,0.753776612,0.999090989,0.855642377,0.771063061,0.974475186,0.870777837,0.666666667,1,0
E33,0.036011962,0.011947748,0.001128678,0.789196311,0.933156944,0.99020918,0.034802781,0.702024052,0.91597529,0.038338119,0.017112408,0.992368776,0.865497076,0.928702784,0.971322285,0.782432433,0.69358652,0.95138889,0.509202929,0.503547384,0.618381366,0.279414984,0.118709675,0.226199265,0.795792599,0.535442925,0.017668872,0.027470217,0.02301683,0.826345191,0.979756914,0.901220013,0.849563831,0.934546221,0.847037573,0.666666667,0,0
E34,0.065852262,0.008594091,0.003894881,0.686429513,0.953623865,0.979350589,0.196015592,0.710783394,0.85552873,0.024995778,0.022213998,0.991758382,0.90726817,0.97083521,0.98601331,0.77234795,0.89244315,0.984060403,0.521330361,0.507463566,0.615006756,0.279414984,0.111435929,0.23904091,0.751641142,0.558760571,0.112266415,0.015977575,0.086929167,0.846213678,0.987515049,0.713586326,0.596466296,0.481050913,0.808785982,0.666666667,0.972219177,0
E35,0.020105618,0.005214722,0.003912291,0.95256917,0.982740851,0.987067776,0.580269059,0.810070127,0.871090048,0.030949164,0.008611928,0.994337546,0.972431078,0.991610793,0.994140033,0.937857143,0.919150944,0.991406604,0.510451185,0.510558797,0.620129628,0.644627438,0.124377373,0.24448565,0.731432452,0.622199927,0.016941758,0.038402242,0.026582079,0.549644804,0.984418933,0.809098868,0.607510552,0.912719473,0.752337036,0.666666667,1,0
E36,0.049659604,0.003404204,0.003183899,0.902503294,0.9947918,0.995221678,0.647188262,0.906567634,0.973879643,0.060167201,0.008651005,0.99215747,0.901420217,0.983298882,0.986022413,0.889398836,0.845735357,0.920223934,0.513652128,0.506744932,0.622400282,0.367279154,0.115915615,0.236420934,0.669007098,0.555299114,0.059114375,0.07596356,0.071042835,0.705471236,0.994198395,0.891620875,0.671239113,0.931911791,0.945825384,0,0.972219177,1
E37,0.018801298,0.007570045,0.007378071,0.965744401,0.991838813,0.99197274,0.671844663,0.93307015,0.97702703,0.049822665,0.010677648,0.989506296,0.925647452,0.969888809,0.97232215,0.898625294,0.782159362,0.962556307,0.508895595,0.510631295,0.62073357,0.394966234,0.118487819,0.238470149,0.656974043,0.544553263,0.017087181,0.041205326,0.027735542,0.812213698,0.98365411,0.889024503,0.810132407,0.909322195,0.894738578,0.666666667,0,0
E38,0.030444741,0.002109701,0.001167264,0.956521739,0.987685211,0.997165593,0.740262363,0.691461949,0.971607518,0.023137983,0.011883731,0.997217461,0.936507937,0.964533829,0.989386178,0.824522293,0.770858972,0.97705314,0.519890522,0.509376075,0.623918131,0.333240065,0.118466526,0.238949918,0.731432452,0.506301763,0.044135825,0.033216538,0.044251035,0.768594732,0.984990073,0.57835529,0.794485102,0.950754994,0.786057401,0.666666667,0.972219177,0
E39,0.008843927,6.09E-05,2.58E-05,0.996047431,0.999996122,0.999999081,0.917021275,0.99589864,1,0.009795643,0.00716598,0.994079697,0.976608187,0.98183335,0.984940711,0.846212121,0.802117765,0.919491525,0.517643807,0.503730519,0.625803391,0.295806336,0.133181754,0.23511812,0.768477654,0.472504844,0.010979423,0.011632796,0.012268652,0.792658574,0.998534604,0.601511502,0.494097659,0.511236105,0.944174148,0.333333333,1,0
E40,0.097569511,0.000743362,0.000241437,0.894598155,0.998420042,0.999600145,0.801778904,0.872936325,0.924641462,0.033609188,0.008287584,0.998773122,0.930659983,0.991300013,0.99830329,0.863703284,0.913143297,0.83375,0.517837743,0.509671815,0.643207711,0.465079389,0.119591568,0.241749962,0.763797512,0.617194501,0.113647931,0.049894884,0.100613433,0.728695938,0.998532047,0.722810369,0.82924076,0.918124109,0.685740081,0.333333333,1,0
E41,0.062575555,0.000884971,0.000340949,0.914361001,0.997811389,0.99945585,0.750614851,0.853943663,0.955081301,0.025375781,0.00799637,0.998759712,0.95154553,0.981334824,0.997616785,0.873152338,0.816377457,0.905785124,0.517232241,0.509822857,0.630264125,0.37557776,0.118405126,0.241360506,0.385002999,0.603124588,0.066312804,0.042606868,0.063755046,0.760173802,0.997933304,0.750421688,0.634111291,0.930357444,0.88287945,0.333333333,0.926443303,0
E42,0.001463384,1.77E-06,1.49E-06,1,1,1,1,1,1,0.012244553,0.00644393,1,0.972431078,0.981913116,1,0.853669725,0.783176747,0.935374151,0.516856915,0.510727636,0.641381759,0.838244953,0.118979468,0.242338381,0.194297355,0.540059616,0.003199302,0.022284513,0.010643318,0.447745758,0.999951383,0.800868398,0.882331001,0.960909195,0.97336094,1,1,0
E43,0.00213145,0.000586212,0.000591822,0.986824769,0.996069375,0.996107019,0,0.654952272,0,0.008866745,0.004501415,0.997822523,0.974101921,0.98400561,0.993895895,0.816530612,0.733150931,0.926012461,0.513445125,0.509129736,0.620066713,0.838244953,0.114983623,0.24024051,0.194297355,0.562712566,0.003272013,0.015977575,0.008336392,0.938803967,0.966155049,0.736716395,0.834857237,0.947917982,0.953894962,0.666666667,0.972219177,0
E44,0.038843291,0.005201117,0.005040623,0.965744401,0.997991403,0.998092682,0.837500002,0.975400816,0.988870705,0.094494173,0.008069309,0.992261896,0.838763576,0.98860534,0.989628685,0.885071869,0.884847772,0.919491525,0.509806123,0.509984725,0.618500726,0.279414984,0.13694531,0.241030585,0.731432452,0.434214929,0.036719261,0.047372109,0.044198605,0.636412531,0.98602028,0.815406822,0.684691838,0.9478138,0.674102671,0.333333333,1,0
E45,0.018801298,0.004150798,0.003440186,0.989459816,0.999034086,0.999016143,0.896000002,0.985091102,1,0.012709002,0.00602124,0.994612765,0.983291562,0.990056993,0.991318522,0.91076923,0.866652944,0.927322403,0.50911097,0.510093757,0.618056495,0.219096683,0.120697011,0.241752943,0.808344276,0.532395027,0.022395114,0.029011913,0.02700152,0.688419308,0.985667638,0.88484135,0.862886744,0.935172704,0.909288246,0.666666667,1,1
E46,0.079245403,0.008635704,0.003463454,0.931488801,0.989519521,0.996113005,0.840566034,0.925028589,0.953611556,0.037366999,0.014398049,0.9944113,0.92898914,0.969228664,0.987677832,0.873459959,0.830521931,0.86464192,0.511625106,0.509893308,0.620010999,0.242371582,0.126834748,0.243073616,0.731432452,0.542787902,0.0624591,0.034337772,0.057882871,0.700925497,0.989382117,0.906423436,0.804797971,0.927114582,0.941451745,0.333333333,0.926443303,0
E47,0.08939365,0.007199842,0.007353712,0.876152833,0.988516206,0.988842519,0.747607576,0.902820993,0.973390254,0.141530147,0.012196215,0.987412665,0.864661654,0.98155766,0.981881997,0.933229108,0.877135416,0.980184745,0.511411818,0.508101586,0.618758667,0.221552393,0.118858887,0.240803688,0.803133693,0.541339698,0.054897113,0.122074282,0.085251403,0.470377604,0.990501783,0.907113285,0.637302944,0.943432524,0.9146755,0.333333333,0.972219177,0
E48,0.038461538,0.002194213,0.001983694,0.967061924,0.998045704,0.998223811,0.842105263,0.944324326,0.971900829,0.040364803,0.012303914,0.988485153,0.953216374,0.982916187,0.98361072,0.92007874,0.886627009,0.980208333,0.52026121,0.500365424,0.641593928,0.460688466,0.115459564,0.212574935,0.594412657,0.557529855,0.040863812,0.071058164,0.056047816,0.19950289,0.993996906,0.877608435,0.718493413,0.927108317,0.962639275,1,0.972219177,0
E49,0.11188522,0.004050497,0.00137874,0.872200264,0.981809797,0.996306361,0.790705392,0.752209109,0.963274587,0.019295727,0.009063742,0.996335174,0.956558062,0.974262272,0.990060923,0.853021443,0.780834481,0.910701374,0.513035372,0.508682108,0.616265544,0.184119014,0.120268104,0.236960642,0.760901378,0.5186795,0.131316804,0.01779958,0.101347455,0.70951449,0.995199365,0.868815365,0.816450835,0.939110864,0.773910348,0.333333333,0.926443303,0
E50,0.005885347,0.000295744,0.000202361,0.985507246,0.995464944,0.996426676,0.564467008,0.374884111,0.963440861,0.010597872,0.004692304,0.998393148,0.974937343,0.987275694,0.99678791,0.847368421,0.789864796,0.776470589,0.514186199,0.509154544,0.620536282,0.574335514,0.105862107,0.241012999,0.289649354,0.607047166,0.006834872,0.025648213,0.014523148,0.861167581,0.981470011,0.089061543,0.934782091,0.951237409,0.68180191,0.333333333,1,0
E51,0.014315709,0.003548969,0.002430518,0.997364954,0.999228554,0.999322462,0.965562914,0.986065447,0.939689576,0.035044756,0.006810601,0.995690401,0.949039265,0.9904619,0.994299645,0.901173184,0.885764298,0.988609114,0.511131826,0.50968055,0.626134488,0.474405985,0.127887847,0.235709708,0.566637753,0.48418674,0.014760416,0.05816398,0.032401825,0.687419485,0.986653589,0.840739578,0.536079852,0.920947972,0.913049098,0.666666667,1,0
E52,0.012979576,0.002837058,0.002394747,0.978919631,0.99683011,0.997561942,0.706352939,0.930735198,0.966748163,0.011906773,0.00460988,0.996062592,0.922305764,0.981153892,0.982965441,0.64419525,0.698850774,0.944638696,0.509659244,0.510062972,0.620980454,0.279414984,0.126428194,0.237857376,0.731432452,0.511327003,0.018832255,0.028451296,0.024222723,0.835916426,0.971525301,0.199524436,0.554874136,0.922321065,0.405502067,0,1,1
E53,0.019023987,0.005681551,0.002579594,0.959156785,0.99044407,0.995231061,0.616190477,0.897845124,0.988647747,0.016551258,0.008837972,0.996589468,0.95154553,0.975091211,0.990822121,0.814757709,0.782305745,0.968013468,0.50991685,0.510999485,0.627840665,0.676530282,0.139647753,0.240213352,0.731432452,0.802903318,0.019268523,0.02957253,0.024956745,0.859892317,0.989935028,0.909348309,0.876392596,0.782210727,0.639649133,0.333333333,0.926443303,0
E54,0.049436915,0.001307347,0.000731409,0.882740448,0.994093344,0.998709603,0.577737226,0.750934639,0.912540195,0.135576761,0.008273593,0.993937222,0.76106934,0.979331107,0.984876018,0.88154813,0.804698664,0.963556246,0.516838393,0.504745263,0.633746948,0.312132539,0.120815868,0.225060155,0.728760434,0.527184151,0.051843234,0.149544499,0.093325644,0.563727607,0.996407168,0.887226976,0.752146482,0.947316298,0.961861346,1,0.926443303,0
E55,0.023891328,0.001771465,0.000765689,0.906455863,0.993753083,0.996414282,0.327095988,0.799112421,0.728723405,0.01853572,0.005748098,0.996541534,0.877192982,0.984741374,0.992796738,0.638728814,0.79378786,0.471030852,0.512917636,0.507898699,0.623541558,0.532889929,0.159461246,0.233604429,0.315942945,0.756168513,0.033810805,0.026489138,0.034289309,0.526462674,0.9891364,0.899172766,0.680956218,0.922082634,0.758548972,0.333333333,0.972219177,0
E56,0.036616403,0.004271841,0.004055998,0.93544137,0.985749353,0.98663441,0.681765194,0.808734126,0.958680555,0.019169059,0.006449294,0.993861171,0.96908939,0.989160078,0.990265495,0.891616161,0.864418067,0.944687045,0.509427745,0.510233646,0.622885838,0.279414984,0.112873412,0.235484493,0.916434523,0.572307289,0.041445503,0.028311142,0.040476066,0.574395749,0.986439636,0.896766135,0.777426468,0.923687672,0.922223867,0.333333333,0.972219177,0
E57,0.003849335,0.004856645,0.004392117,0.989459816,0.99481327,0.994873354,0.519999996,0.933674255,1,0.016129032,0.007864491,0.992451236,0.956558062,0.974335183,0.977185043,0.827853881,0.752109722,0.926165804,0.51015355,0.509121586,0.607450904,0.279414984,0.102301273,0.254428436,0.731432452,0.604288567,0.003926416,0.026348984,0.012688093,0.908186319,0.857753014,0.740201913,0.832466621,0.953873726,0.932171495,0.666666667,0.972219177,0
E58,0.041738245,0.001176871,0.000393215,0.948616601,0.995991631,0.99668038,0.774999998,0.80518716,0.948210207,0.011822327,0.005544863,0.997607753,0.913116124,0.950738112,0.979058209,0.611340206,0.441482802,0.93309859,0.513702568,0.508541155,0.624541462,0.355511838,0.123577763,0.236374733,0.498232535,0.55501578,0.047698684,0.017659425,0.041000367,0.767341125,0.992026161,0.553151905,0.834490732,0.94274178,0.888193724,0.666666667,0.972219177,0
E59,0.016892537,0.003185031,0.00323384,0.977602108,0.995338253,0.995491219,0.758469942,0.91040171,0.987218047,0.087105219,0.006562805,0.993340424,0.931495405,0.991230066,0.99189771,0.944671941,0.890725086,0.996935978,0.511460182,0.508234987,0.619560343,0.22077388,0.118045316,0.240005563,0.804076841,0.545350907,0.014687705,0.020882971,0.018402978,0.804657353,0.990945405,0.931762364,0.789205602,0.959581042,0.865342826,1,1,0
E60,0.016828911,0.000820208,0.000742571,0.989459816,0.999524908,0.999551032,0.884014873,0.963371799,1,0.017733491,0.00195144,0.999622158,0.925647452,0.977471412,0.995835702,0.748440545,0.330199025,0.992531445,0.509894926,0.511522039,0.622727842,0.279414984,0.124214264,0.241025432,0.731432452,0.528839692,0.012506362,0.028451296,0.019661301,0.286556955,0.993308722,0.286058588,0.797653275,0.942033323,0.546611343,0.666666667,1,0
